Primos de Sophie Germain y sus raíces primitivas (Julia)
=======================================================

p	2p+1	raíz(p)	raíz(2p+1)
----------------------------------------
3	7	2	3
5	11	2	2
11	23	2	5
23	47	5	5
29	59	2	2
41	83	6	2
53	107	2	2
83	167	2	5
89	179	3	2
113	227	3	2
131	263	2	5
173	347	2	2
179	359	2	7
191	383	19	5
233	467	3	2
239	479	7	13
251	503	6	5
281	563	3	2
293	587	2	2
359	719	7	11
419	839	2	11
431	863	7	5
443	887	2	5
491	983	2	5
509	1019	2	2
593	1187	3	2
641	1283	3	2
653	1307	2	2
659	1319	2	13
683	1367	5	5
719	1439	11	7
743	1487	5	5
761	1523	6	2
809	1619	3	2
911	1823	17	5
953	1907	3	2
